zipcode,crime_incidents,neighborhood
96701,301,
96703,0,
96704,0,
96705,0,
96706,153,
96707,235,
96708,0,
96709,292,
96710,0,
96712,41,
96713,0,
96714,0,
96715,0,
96716,0,
96717,61,
96718,0,
96719,0,
96720,0,
96721,0,
96722,0,
96725,0,
96726,0,
96727,0,
96728,0,
96729,0,
96730,5,
96731,40,
96732,0,
96733,0,
96734,262,
96737,0,
96738,0,
96739,0,
96740,0,
96741,0,
96742,0,
96743,0,
96744,86,
96745,0,
96746,0,
96747,0,
96748,0,
96749,0,
96750,0,
96751,0,
96752,0,
96753,0,
96754,0,
96755,0,
96756,0,
96757,0,
96759,13,
96760,0,
96761,0,
96762,56,
96763,0,
96764,0,
96765,0,
96766,0,
96767,0,
96768,0,
96769,0,
96770,0,
96771,0,
96772,0,
96773,0,
96774,0,
96776,0,
96777,0,
96778,0,
96779,0,
96780,0,
96781,0,
96782,274,
96783,0,
96784,0,
96785,0,
96786,245,
96788,0,
96789,96,
96790,0,
96791,44,
96792,399,
96793,0,
96795,68,
96796,0,
96797,257,
96801,2108,Capitol District|Kakaako
96802,2108,Capitol District|Kakaako
96803,2108,Capitol District|Kakaako
96804,2108,Capitol District|Kakaako
96805,2108,Capitol District|Kakaako
96806,2108,Capitol District|Kakaako
96807,2108,Capitol District|Kakaako
96808,2108,Capitol District|Kakaako
96809,2108,Capitol District|Kakaako
96810,2108,Capitol District|Kakaako
96811,2108,Capitol District|Kakaako
96812,2108,Capitol District|Kakaako
96813,2315,Lower Punchbowl
96814,2925,Ala Moana
96815,1148,Diamond Head
96816,676,Kaimuki
96817,1239,Nuuanu-Punchbowl
96818,256,Airport
96819,714,Moanalua
96820,198,Capitol District|Kakaako
96821,100,Kuliouou
96822,686,Tantalus
96823,2304,Capitol District|Kakaako
96824,84,Capitol District|Kakaako
96825,141,Hawaii Kai
96826,1982,Mccully-Moiliili
96827,2295,Capitol District|Kakaako
96828,1413,Capitol District|Kakaako
96830,1846,Capitol District|Kakaako
96835,1881,Tantalus
96836,2538,Capitol District|Kakaako
96837,2306,Capitol District|Kakaako
96838,2189,Capitol District|Kakaako
96839,173,Capitol District|Kakaako
96840,2189,Capitol District|Kakaako
96841,2189,Capitol District|Kakaako
96843,2568,Capitol District|Kakaako
96844,402,Manoa
96846,2189,Capitol District|Kakaako
96847,2189,Capitol District|Kakaako
96848,606,Capitol District|Kakaako
96849,2189,Capitol District|Kakaako
96850,1866,Capitol District|Kakaako
96853,9,
96854,191,
96857,18,
96858,388,
96859,109,
96860,75,
96861,43,
96863,1,
96898,443,